timestamp,measuredAngVel,idealAngularSpeed
82342.506959,0,0
82342.512064,0.00053211260819807649,0.14265893399715423584
82342.517434,-0.00106422521639615297,0.60042691230773925781
82342.523249,-0.00106422521639615297,1.05927002429962158203
82342.528821,0.00425690086558461189,1.51797652244567871094
82342.534012,0.23093685507774353027,1.97260177135467529297
82342.539176,1.08497750759124755859,2.42390227317810058594
82342.544487,2.2641391754150390625,2.87057042121887207031
82342.549742,3.21449208259582519531,3.28894782066345214844
82342.55517,3.82908201217651367188,3.72066998481750488281
82342.560889,4.2813777923583984375,4.14373636245727539063
82342.565427,4.71717786788940429688,4.55421352386474609375
82342.570791,5.18490505218505859375,4.9559421539306640625
82342.576785,5.6270904541015625,5.34554386138916015625
82342.582012,5.99371623992919921875,5.72077178955078125
82342.587352,6.3284149169921875,6.06704568862915039063
82342.592494,6.65513181686401367188,6.41607809066772460938
82342.597697,6.97333526611328125,6.74826574325561523438
82342.603054,7.28302478790283203125,7.066650390625
82342.608367,7.58313655853271484375,7.3544139862060546875
82342.613583,7.87366962432861328125,7.63798999786376953125
82342.618899,8.15302944183349609375,7.90332508087158203125
82342.624217,8.41110324859619140625,8.13852405548095703125
82342.629958,8.639911651611328125,8.36379146575927734375
82342.635389,8.84743595123291015625,8.56898593902587890625
82342.640509,9.04218959808349609375,8.7534198760986328125
82342.645789,9.2103366851806640625,8.90956592559814453125
82342.651018,9.3545398712158203125,9.05186367034912109375
82342.656461,9.46894359588623046875,9.17210674285888671875
82342.661869,9.55408191680908203125,9.2696075439453125
82342.666986,9.613677978515625,9.34152317047119140625
82342.67239,9.6738071441650390625,9.39451694488525390625
82342.677547,9.74138545989990234375,9.4246883392333984375
82342.682901,9.8020458221435546875,9.43229198455810546875
82342.688732,9.8259906768798828125,9.43229198455810546875
82342.693836,9.800449371337890625,9.43229198455810546875
82342.699242,9.72914600372314453125,9.43229198455810546875
82342.704559,9.63230228424072265625,9.43229198455810546875
82342.709833,9.539714813232421875,9.43229198455810546875
82342.715069,9.472667694091796875,9.43229198455810546875
82342.720265,9.43542003631591796875,9.43229198455810546875
82342.725603,9.41094303131103515625,9.43229198455810546875
82342.730954,9.39498043060302734375,9.43229198455810546875
82342.736255,9.3928508758544921875,9.43229198455810546875
82342.74181,9.38646602630615234375,9.43229198455810546875
82342.747118,9.36305332183837890625,9.43229198455810546875
82342.752465,9.30718135833740234375,9.43229198455810546875
82342.758179,9.228427886962890625,9.43229198455810546875
82342.763338,9.1592540740966796875,9.43229198455810546875
82342.768466,9.1204090118408203125,9.43229198455810546875
82342.7739,9.1353092193603515625,9.43229198455810546875
82342.779049,9.18213558197021484375,9.43229198455810546875
82342.784309,9.24013423919677734375,9.43229198455810546875
82342.789607,9.28589725494384765625,9.43229198455810546875
82342.795252,9.30292415618896484375,9.43229198455810546875
82342.800573,9.30026340484619140625,9.4274959564208984375
82342.805953,9.2906856536865234375,9.40207004547119140625
82342.811266,9.2864284515380859375,9.3548564910888671875
82342.816445,9.272594451904296875,9.28580474853515625
82342.821647,9.24705219268798828125,9.18917369842529296875
82342.826956,9.21725368499755859375,9.075611114501953125
82342.832306,9.16510677337646484375,8.94089508056640625
82342.837804,9.0703907012939453125,8.7841701507568359375
82342.843733,8.94587612152099609375,8.6071109771728515625
82342.848143,8.79369258880615234375,8.40938663482666015625
82342.853892,8.621288299560546875,8.19100856781005859375
82342.859634,8.44569110870361328125,7.94186305999755859375
82342.86472,8.2653045654296875,7.68495988845825195313
82342.870189,8.03649616241455078125,7.40949249267578125
82342.875332,7.71510028839111328125,7.11638307571411132813
82342.880317,7.3245296478271484375,6.80685472488403320313
82342.885694,6.91533517837524414063,6.48021411895751953125
82342.891015,6.42047071456909179688,6.13892507553100585938
82342.896356,5.91868829727172851563,5.78376913070678710938
82342.901476,5.48767709732055664063,5.41360759735107421875
82342.907337,5.0869960784912109375,5.03078603744506835938
82342.912599,4.67833423614501953125,4.63496112823486328125
82342.917807,4.2281665802001953125,4.22937870025634765625
82342.923096,3.77906370162963867188,3.81177806854248046875
82342.92836,3.32463932037353515625,3.38585782051086425781
82342.93367,2.87287592887878417969,2.95226430892944335938
82342.938979,2.39823150634765625,2.5100555419921875
82342.944164,1.86452245712280273438,2.06326007843017578125
82342.949472,1.36007976531982421875,1.61230778694152832031
82342.954884,0.94183927774429321289,1.1561565399169921875
82342.96055,0.57521367073059082031,0.69939470291137695313
82342.965731,0.19102841615676879883,0.24045972526073455811
82342.971543,-0.18145038187503814697,0
82342.976599,-0.52572721242904663086,0
82342.981682,-0.78699451684951782227,0
82342.986975,-0.86893987655639648438,0
82342.992293,-0.8524443507194519043,0
82342.997607,-0.78805869817733764648,0
82343.002844,-0.6912142634391784668,0
82343.008209,-0.58000272512435913086,0
82343.013797,-0.44431400299072265625,0
82343.019158,-0.25913882255554199219,0
82343.024411,-0.07023885846138000488,0
82343.02982,0.0324588678777217865,0
